,Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
1087,VNTL-2720,Rượu Vang Condado De Haza Alenza,2700000.0,Tây Ban Nha,13.0,750.0,Tempranillo,đỏ sáng,Tempranillo,Tinto Pesquera,Ribera Del Duero
1088,VNYW-2948,Rượu Vang Condado De Oriza Gran Reserva,2948000.0,Tây Ban Nha,13.5,750.0,Tempranillo,đỏ đậm ánh hổ phách,Rượu vang đỏ,Condado De Oriza,Espagne / Castilla y León / Ribera del Duero
1089,VNQW-1358,Rượu Vang Confidences De Prieure Lichine,1358000.0,Pháp,13.5,750.0,"Merlot,Cabernet Sauvignon,Cabernet Franc",đỏ ruby,Rượu Vang Đỏ,Confidences,Bordeaux
1090,VNLK2-1050,Rượu Vang Conte Di Campiano 66 Primitivo Di Manduria,1050000.0,Ý,15.0,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Conte Di Campiano,Puglia
1091,VNLK2-700,Rượu Vang Conte Di Campiano Cannonau Di Sardegna Riserva,700000.0,Ý,14.0,750.0,Cannonau,đỏ ruby,Rượu Vang Đỏ,Conte di Campiano,Đảo Sardinia – Italia
1092,VNLK-600,Rượu Vang Conte Di Campiano Nero D’avola Syrah Terre Siciliane,600000.0,Ý,13.5,750.0,"Nero D’Avola,Syrah",đỏ ruby,Rượu Vang Đỏ,Conte Di Campiano,Sicily – Italia
1093,VNLK1-600,Rượu Vang Conte Di Campiano Salice Salentino Riserva,600000.0,Ý,13.5,750.0,"Negroamaro,Malvasia",đỏ ruby,Rượu Vang Đỏ,Conte Di Campiano,Puglia
1094,VNCIE-1400,Rượu Vang Conte Giangirolamo Girolamo – Vang Bá Tước,1400000.0,Ý,14.5,750.0,"Primitivo,Negroamaro",đỏ ruby,Rượu Vang Đỏ,Girolamo,Puglia
1095,VNCIE-1900,Rượu Vang Conte Giangirolamo Gold Limited,1900000.0,Ý,14.5,750.0,"Primitivo,Negroamaro",đỏ ruby,Rượu Vang Đỏ,Tenute Girolamo,Puglia
1096,VNKR-630,Rượu Vang Contrada Del Falco – Cantina San Donaci,630000.0,Ý,14.0,750.0,"Negroamaro,Primitivo",đỏ ruby,Rượu Vang Đỏ,San Donaci,Puglia
1097,VNSSP2-365,Rượu Vang Convento Viejo Cabernet Sauvignon,365000.0,Chile,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,J.Bouchon,"Thung lũng Maule, Chile"
1098,VNMT-385,Rượu Vang Cool Woods Sauvignon Blanc,385000.0,ÚC,12.0,750.0,Sauvignon Blanc,vàng ánh xanh,Rượu Vang Trắng,Cool Woods,South Australia
1099,VNMT-392,Rượu Vang Cool Woods Shiraz,392000.0,ÚC,14.0,750.0,Shiraz,đỏ đậm ánh tím,Rượu Vang Đỏ,Thorn Clarke,South Australia
1100,VNMH2-890,Rượu Vang Coppola Diamond Collection Chardonnay,890000.0,Mỹ,14.1,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Fetzer,California
1101,VNMH1-270,Rượu Vang Coppola Diamond Collection Pinot Noir 250 ML,270000.0,Mỹ,13.5,250.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Coppola,California
1102,VNMH6-890,Rượu Vang Coppola Diamond Collection Pinot Noir Oregon,890000.0,Mỹ,13.5,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Fetzer,California
1103,VNMH-270,Rượu Vang Coppola Diamond Collection Sauvignon Blanc 250 ML,270000.0,Mỹ,13.5,250.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,Fetzer,California
