,Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
0,VNPV-3958,Rượu Champagne Bottega Stardust Prosecco,3563000.0,Ý,11.0,750.0,Glera,vàng rơm nhạt,Rượu Champagne,Bottega,Veneto
1,VNPV-9463,Rượu Champagne Carbon F1,8517000.0,Pháp,12.0,750.0,"Chardonnay,Pinot meunier,Pinot Noir",trắng,Rượu Champagne,Delamotte,Champagne
2,VNPV1-1823,Rượu Champagne Charles Mignon Premium Reserve,1641000.0,Pháp,13.5,750.0,"Chardonnay,Pinot meunier,Pinot Noir",vàng,Rượu Champagne,Charles Mignon,Champagne
3,VNPV-836,Rượu Champagne De Castellane Brut,753000.0,Pháp,11.0,375.0,Chardonnay,xanh nhạt,Rượu Champagne,De Castellane,Champagne
4,VNPV-4233,Rượu Champagne Delamotte Blanc De Blancs,3810000.0,Pháp,12.5,750.0,Chardonnay,trắng trong,Rượu Champagne,Delamotte,Champagne
5,VNPV-1956,Rượu Champagne Delamotte Brut,1761000.0,Pháp,12.0,750.0,Chardonnay,vàng,Rượu Champagne,Delamotte,Champagne
6,VNPV-3667,Rượu Champagne Delamotte Rose,2956000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir,Pinot Meunier",hồng,Rượu Champagne,Delamotte,Champagne
7,VNPV-1976,Rượu Champagne Duval Leroy Thierry Drapeau,1779000.0,Pháp,12.5,750.0,Chardonnay,vàng,Rượu Champagne,Champagne Duval Leroy,Champagne
8,VNTK3-480,Rượu Champagne JP Chenet Brut Blanc,480000.0,Pháp,13.0,750.0,Chardonnay,đỏ đậm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
9,VNBMF-744,Rượu Champagne JP Chenet Divine Chardonnay,750000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
10,VNTK-480,Rượu Champagne JP Chenet Ice Edition White,480000.0,Pháp,11.0,750.0,Chardonnay,vàng rơm,Rượu Vang Nổ,JP Chenet,Pays d’Oc
11,VNQW-1397,Rượu Champagne Philippe Fourrier,1397000.0,Pháp,12.5,750.0,"Pinot Noir,Pinot Meunier,Chardonnay",vàng chanh,Champagne,Philippe Fourrier,Champagne
12,VNMH4-1490,Rượu Champagne Piper Heidsieck Brut,1490000.0,Pháp,12.0,750.0,"Pinot Noir,Meunier,Chardonnay",vàng kim,Rượu Champagne,Piper Heidsieck,Reims – Champagne
13,VNMH-39000,Rượu Champagne Rare Le Secret,39000000.0,Pháp,12.0,1500.0,"Chardonnay,Pinot Noir",vàng rơm,Rượu Champagne,Piper Heidsieck,Champagne
14,VNMH-6560,Rượu Champagne Rare Milésimé Piper Heidsieck,5500000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir",vàng ánh xanh,Rượu Champagne,Piper Heidsieck,Reims – Champagne
15,VNMH-9450,Rượu Champagne Rare Rosé Millésimé Brut,9450000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir",hồng nhạt,Rượu Champagne,Champagne Piper Heidsieck,Reims – Champagne
16,VNTH1-2800,Rượu Champagne Victoire Rose,2800000.0,Pháp,12.0,750.0,"Pinot Noir,Pinot Meunier,Chardonnay",hồng nhạt,Rượu Champagne,Delamotte,Champagne
17,VNPV1-3532,Rượu Champagne Vouette Et Sorbee Fidele,3179000.0,Pháp,12.5,750.0,Chardonnay,vàng,Rượu Champagne,Vouette et Sorbee,Champagne
18,VNPV-864,Rượu Sâm Banh Anna De Codorniu,778000.0,Tây Ban Nha,11.5,750.0,Chardonnay,trắng,Sâm banh,Villa Conchi,Cava
19,VNPV1-864,Rượu Sâm Banh ANNA De Codorniu Brut Rose,778000.0,Tây Ban Nha,12.0,750.0,Pinot Noir,hồng,Sâm banh,Villa Conchi,Cava
20,VNDL-1246,Rượu Sâm Banh Bisol Cru Cartizze Prosecco Dry,1119000.0,Ý,11.5,750.0,Glera,vàng nhạt ánh xanh,Rượu Sâm Banh,Bisol,Conegliano – Valdobbiadene Prosecco
21,VNPV-226,Rượu Sâm Banh Bottega Gold 200 ML,204000.0,Ý,11.0,200.0,Glera,vàng rơm nhạt,Rượu Sâm Banh,Bottega,Veneto
22,VNPV-580,Rượu Sâm Banh Codorniu Clasico Rosado Sparkling Brut,522000.0,Tây Ban Nha,12.0,750.0,"Monastrell,Grenache",sủi bọt hồng,Sâm banh,Villa Conchi,Cava
23,VNPV1-541,Rượu Sâm Banh Codorniu Clasico Sparkling Brut,487000.0,Tây Ban Nha,11.5,750.0,"Macabeo, Parellada, Xarello",trắng,Sâm banh,Villa Conchi,Cava
24,VNMH4-530,Rượu Sâm Banh Freixenet Carta Nevada,525000.0,Tây Ban Nha,11.5,750.0,Macabeo – Xarel-lo – Parellada,vàng rơm,Rượu Vang Nổ,Freixenet,Catalunya
25,VNMH9-650,Rượu Sâm Banh Freixenet Prosecco D.O.C,650000.0,Tây Ban Nha,11.0,750.0,Glera,trắng,Rượu Vang Sủi,Freixenet,Prosecco
26,VNPV4-417,Rượu Sâm Banh Lindeman’s Premier Selection Brut Cuvee,376000.0,ÚC,11.5,750.0,Blend,vàng nhạt,Rượu Sâm Banh,Lindeman’s,South Eastern
27,VNWH2 - 900,Rượu Sâm Banh Santa Margherita Valdobbiadene Prosecco,840000.0,Ý,11.5,750.0,Glera,trắng,Rượu Vang Sủi,Santa Margherita,Conegliano-Valdobbiadene Prosecco
28,VNPV1-1372,Rượu Sâm Banh Thierry Germain Bulles De Roches Saumur,1235000.0,Pháp,12.5,750.0,Chenin Blanc,vàng nhạt,Sâm Banh,Ampelidae,Loire Valley
29,VNMH-500,Rượu Sâm Panh Veuve Ambal Crémant De Bourgogne Grande Cuvee,500000.0,Pháp,12.0,750.0,"Chardonnay,Pinot Noir,Gamay",vàng nhạt,Rượu Sâm Panh,Veuve Ambal,Bourgogne
30,VNPE-650,Rượu Sparkling Cuvee DEOR The Gold collection,650000.0,Ý,10.0,750.0,Moscato,vàng nhạt,Rượu Sparkling,Cielo & Terra,Veneto
31,VNHD1-450,Rượu Sparkling Giacobazzi Moscato Rose,450000.0,Ý,6.5,750.0,Moscato,hồng nhạt,Rượu Vang Hồng,Bottega,Veneto
32,VNPE-532,Rượu Sparkling PassaParola Prosecco Brut,532000.0,Ý,11.0,750.0,Prosecco,vàng nhạt,Rượu Sparkling,Bottega,Veneto
33,VNBMF-186,Rượu Sparkling Wine Torley Charmant Sweet Red,186000.0,Hungary,11.5,750.0,"Cabernet Franc,Sauvignon Blanc",hồng nhạt,Sparkling Wine,Torley,Budapest
34,VNVH-1000,Rượu Vang  I Veroni I Domi Chianti Rufina,1000000.0,Ý,15.5,750.0,Sangiovese,đỏ ruby,Rượu Vang Đỏ,Fattoria I Veroni,Tuscany
35,VNHD-895,Rượu Vang 1.868 Finca Los Aljibes,895000.0,Tây Ban Nha,14.5,750.0,"Cabernet Sauvignon,Tempranillo,Petit Verdot,Garnacha",đỏ ruby,Rượu Vang Đỏ,Bodega Finca Los Aljibes,Tejares
36,VNNEIR-650,Rượu Vang 12 E Mezzo Primitivo Del Salento,540000.0,Ý,12.5,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Varvaglione 1921,Puglia
37,VNNEIR-700,Rượu Vang 12 E Mezzo Primitivo Puglia Organic,700000.0,Ý,12.5,750.0,Primitivo,đỏ thẫm xen ánh tím,Rượu Vang Đỏ,Varvaglione 1921,Puglia
38,VNHD1-395,Rượu Vang 125 Negroamaro Del Salento,395000.0,Ý,12.5,750.0,Negroamaro,đỏ ruby,Rượu Vang Đỏ,Feudi Salentini,Puglia
39,VNYW-8745,Rượu Vang 1600 Limited Edition Napa Valley,8745000.0,Mỹ,14.6,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang đỏ,RD Napa Valley,Napa Valley
40,VNMH8-1800,Rượu Vang 17 Edizione Limited Release,1800000.0,Ý,14.5,750.0,"Montepulciano,Primitivo,Sangiovese,Negroamaro,Malvasia Nera",đỏ ruby,Rượu Vang Đỏ,Farnese,Puglia
41,VNTK3-1187,Rượu Vang 1865 Selected Vineyard Sauvignon Blanc,1187000.0,Chile,13.8,750.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,Santa Rita,Leyda Valley
42,VNYW-1225,Rượu Vang 1865 Single Vineyard Cabernet Sauvignon,1225000.0,Chile,14.4,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Santa Rita,Maipo Valley
43,VNWP-980,Rượu Vang 1868 Negroamaro Puglia,980000.0,Ý,14.5,750.0,Negroamaro,đỏ ruby,Rượu Vang Đỏ,Agricola Sca Leverano,Puglia
44,VNPE-226,Rượu Vang 1887 Cabernet Sauvignon,226000.0,Chile,12.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Montgras,Central Valley
45,VNNEIR-3500,Rượu Vang 1921 Primitivo Di Manduria Riserva,3500000.0,Ý,14.5,750.0,Primitivo,đỏ tươi,Rượu Vang Đỏ,Varvaglione 1921,Puglia
46,VNVH-300,Rượu Vang 1973 Sangiovese Puglia,300000.0,Ý,12.5,750.0,Sangiovese,đỏ ruby,Rượu Vang Đỏ,Indicazione Geografica Tipica,Puglia
47,VNPE-858,Rượu Vang 3 Passo Rosso Organic,858000.0,Ý,14.0,750.0,"Sangiovese,Negroamaro",đỏ ruby,Rượu Vang Đỏ,Cielo E Terra,Veneto
48,VNWP-780,Rượu Vang 7 Colores Single Vineyard Red Blend,780000.0,Chile,14.0,750.0,"Cabernet Sauvignon,Carmenère",đỏ ruby,Rượu Vang Đỏ,7Colores,Maipo Valley
49,VNWP-320,Rượu Vang 7Colores Cabernet Sauvignon,320000.0,Chile,13.5,750.0,Carbernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,7Colores,Central Valley
50,VNWP2-550,Rượu Vang 7Colores Gran Reserva Cabernet Sauvignon – Muscat,550000.0,Chile,14.0,750.0,"Carbernet Sauvignon,Muscat",đỏ ruby,Rượu Vang Đỏ,7Colores,Maule Valley
51,VNWP-580,Rượu Vang 7Colores Gran Reserva Carmenère,580000.0,Chile,13.5,750.0,Carmenere,đỏ ruby,Rượu Vang Đỏ,7Colores,Maule Valley
52,VNWP-600,Rượu Vang 7Colores Gran Reserva Pinot Noir – Semillion,600000.0,Chile,13.5,750.0,"Pinot Noir,Semillion",đỏ ruby,Rượu Vang Đỏ,7Colores,Casablanca
53,VNWP-1850,Rượu Vang 7Colores Icon Cabernet Sauvignon,1850000.0,Chile,14.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,7Colores,Maipo Valley
54,VNWP3-1450,Rượu Vang 7Colores Limited Edition Cabernet Sauvignon,1450000.0,Chile,14.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,7Colores,Maipo Valley
55,VNWP-420,Rượu Vang 7Colores Reserva Cabernet Sauvignon – Pais,420000.0,Chile,13.5,750.0,Carbernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,7Colores,Maule Valley
56,VNWP1-420,Rượu Vang 7Colores Reserva Sauvignon Blanc,420000.0,Chile,12.5,750.0,Sauvignon Blanc,vàng nhạt,Rượu Vang Trắng,7Colores,Maule Valley
57,VNWP1-320,Rượu Vang 7Colores Sauvignon Blanc,320000.0,Chile,12.5,750.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,7Colores,Central Valley
58,VNHP-750,Rượu Vang 80 Anni Barbera Dezzani,750000.0,Ý,14.5,750.0,Barbera,đỏ ruby,Rượu Vang Đỏ,Dezzani,Piemonte
59,VNCIE-1470,Rượu Vang 80 Vecchie Vigne Primitivo Di Manduria,1470000.0,Ý,18.0,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Vecchie Vigne,Puglia
60,VNTLP1-1950,Rượu Vang A Rosso Salento Blend – Chai Chữ A,1950000.0,Ý,15.0,750.0,"Negroamaro,Primitivo",đỏ ruby,Rượu Vang Đỏ,Le Vigne Di Sammarco,Puglia
61,VNADT2-1260,Rượu Vang Abando Rioja,1260000.0,Tây Ban Nha,14.0,750.0,Tempranillo,đỏ ruby,Rượu Vang Đỏ,Abando,Rioja
62,VNMT1-215,Rượu Vang Abtao Cabernet Sauvignon,215000.0,Chile,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Abtao,Colchagua Valley
63,VNMT-215,Rượu Vang Abtao Chardonnay,215000.0,Chile,15.0,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Abtao,Central Valley
64,VNMT1-400,Rượu Vang Abtao Gran Reserva Cabernet Sauvignon,400000.0,Chile,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Abtao,Central Valley
65,VNMT-400,Rượu Vang Abtao Gran Reserva Chardonnay,400000.0,Chile,13.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Abtao,Casablanca Valley
66,VNMT2-280,Rượu Vang Abtao Reserva Cabernet Sauvignon,280000.0,Chile,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Abtao,Colchagua Valley
67,VNMT1-280,Rượu Vang Abtao Reserva Carménère,280000.0,Chile,13.5,750.0,Carménère,đỏ ruby,Rượu Vang Đỏ,Abtao,Central Valley
68,VNMT-280,Rượu Vang Abtao Reserva Sauvignon Blanc,280000.0,Chile,13.0,750.0,Sauvignon Blanc,vàng nhạt,Rượu Vang Trắng,Abtao,Central Valley
69,VNMH8-800,Rượu Vang Aconcagua Costa Syrah Errazuriz,800000.0,Chile,13.5,750.0,Syrah,đỏ ruby,Rượu Vang Đỏ,Errazuriz,Aconcagua Valley
70,VNWH-5445,Rượu Vang Aile D’Argent Chateau Mouton Rothschild,5445000.0,Pháp,13.5,750.0,"Sauvignon Blanc,Semillon","vàng gold, khá sáng",Rượu Vang Trắng,Chateau Mouton Rothschild,Bordeaux
71,VNQW-1012,Rượu Vang Ala Rossa D’Italia Rosso IGT Puglia,1012000.0,Ý,16.0,750.0,"Primitivo,Negroamaro",đỏ ruby,Rượu Vang Đỏ,Ala Rossa,Puglia
72,VNPV-1150,Rượu Vang Alain Brumont Chateau Bouscasse Madiran,1035000.0,Pháp,13.5,750.0,Malbec,đỏ anh đào đậm,Rượu Vang đỏ,Alain Brumont,South West France
73,VNPV2-768,Rượu Vang Alain Brumont Torus Madiran,692000.0,Pháp,13.0,750.0,Cabernet Sauvignon,đỏ sẫm,Rượu Vang đỏ,Alain Brumont,South West France
74,VNPV1-1718,Rượu Vang Alain Chabanon L’Esprit De Font Caude Montpeyroux,1547000.0,Pháp,13.5,750.0,"Syrah,Mourvedre",đỏ,Rượu Vang đỏ,Alain Chabanon,Languedoc
75,VNPV-1730,Rượu Vang Alain Chabanon Le Merle Aux Alouettes,1557000.0,Pháp,14.0,750.0,Merlot,đỏ ruby đậm,Rượu Vang Đỏ,Vignobles JeanJean,Languedoc
76,VNPV1-1046,Rượu Vang Alain Chabanon Le Petit Merle Aux Alouettes,942000.0,Pháp,13.0,750.0,Merlot,đỏ sẫm,Rượu Vang Đỏ,Vignobles JeanJean,Languedoc
77,VNPV-1629,Rượu Vang Alain Chabanon Les Boisieres,1467000.0,Pháp,14.0,750.0,"Grenache,Syrah,Mourvedre",đỏ hồng ngọc,Rượu Vang Đỏ,Vignobles JeanJean,Languedoc
78,VNPV1-1989,Rượu Vang Alain Chabanon Saut De Cote,1791000.0,Pháp,13.0,750.0,"Syrah,Merlot",đỏ đậm,Rượu Vang Đỏ,Vignobles JeanJean,Languedoc
79,VNTK3-734,Rượu Vang Alamos Cabernet Sauvignon,734000.0,Argentina,13.5,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Alamos,Mendoza
80,VNLK-700,Rượu Vang Alarossa D’italia Rosso IGT Puglia,700000.0,Ý,14.0,750.0,"Primitivo,Negroamaro",đỏ ruby,Rượu Vang Đỏ,47 Anno Domini,Puglia
81,VNLK1-700,Rượu Vang Alarossa D’italia Rosso IGT Veneto,700000.0,Ý,14.0,750.0,"Corvina,Rondinella",đỏ ruby,Rượu Vang Đỏ,47 Anno Domini,Veneto
82,VNVC-11880,Rượu Vang Albert Bichot Bonnes Mares Grand Cru,11880000.0,Pháp,13.0,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
83,VNVC-748,Rượu Vang Albert Bichot Bourgogne Aligote,748000.0,Pháp,12.0,750.0,Aligoté,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
84,VNVC1-759,Rượu Vang Albert Bichot Bourgogne Gamay,759000.0,Pháp,12.5,750.0,Gamay,đỏ ruby,Rượu Vang Đỏ,Louis Jadot,Bourgogne
85,VNVC-825,Rượu Vang Albert Bichot Bourgogne Vieilles Vignes De Chardonnay,825000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
86,VNVC1-858,Rượu Vang Albert Bichot Bourgogne Vieilles Vignes De Pinot Noir,858000.0,Pháp,12.5,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Louis Jadot,Bourgogne
87,VNVC-1056,Rượu Vang Albert Bichot Chablis Domaine Long Depaquit,1056000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
88,VNVC-8800,Rượu Vang Albert Bichot Clos De La Roche Grand Cru,8800000.0,Pháp,13.5,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Cöle de Nuits
89,VNVC1-5280,Rượu Vang Albert Bichot Corton Domaine Du Pavillon,5280000.0,Pháp,13.5,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Cole de Beoune
90,VNVC-16940,Rượu Vang Albert Bichot Criots Bâtard Montrachet Grand Cru,16940000.0,Pháp,13.0,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Albert Bichot,Cole de Beoune
91,VNVC-2585,Rượu Vang Albert Bichot Gevrey Chambertin,2585000.0,Pháp,13.0,750.0,Gamay,đỏ ruby,Rượu Vang Đỏ,Louis Jadot,Bourgogne
92,VNVC1-8052,Rượu Vang Albert Bichot Grand Echezeaux Domaine Du Clos Frantin,8052000.0,Pháp,13.5,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
93,VNVC-8052,Rượu Vang Albert Bichot Latricieres Chambertin Grand Cru,8052000.0,Pháp,13.5,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
94,VNVC-12100,Rượu Vang Albert Bichot Mazis Chambertin Grand Cru,12100000.0,Pháp,13.0,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Albert Bichot,Bourgogne
95,VNVC1-1760,Rượu Vang Albert Bichot Mercurey Premier Cru Les Combins,1760000.0,Pháp,13.0,750.0,Gamay,đỏ ruby,Rượu Vang Đỏ,Louis Jadot,Bourgogne
96,VNVC-3080,Rượu Vang Albert Bichot Meursault Domaine Du Pavillon,3080000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
97,VNVC-5280,Rượu Vang Albert Bichot Moutonne Chablis Grand Cru Monopole,5280000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Albert Bichot,Chablis
98,VNVC-2860,Rượu Vang Albert Bichot Pommard Clos Des Ursulines Domaine Du Pavillon,2860000.0,Pháp,13.0,750.0,Pinot Noir,đỏ ruby,Rượu Vang Đỏ,Louis Jadot,Bourgogne
99,VNVC-1375,Rượu Vang Albert Bichot Pouilly Fuisse,1375000.0,Pháp,12.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
100,VNVC-3520,Rượu Vang Albert Bichot Puligny Montrachet,3520000.0,Pháp,13.0,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
101,VNVC-1760,Rượu Vang Albert Bichot Saint Romain,1760000.0,Pháp,13.9,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Louis Jadot,Bourgogne
102,VNWH1-524,Rượu Vang Allan Scott Pinot Gris,495000.0,New Zealand,12.0,750.0,Pinot Gris,vàng tươi,Rượu Vang Trắng,Allan Scott,Marlborough
103,VNWH2 - 750,Rượu Vang Allan Scott Pinot Noir,725000.0,New Zealand,13.5,750.0,Pinot Noir,đỏ đậm,Rượu vang đỏ,Allan Scott,Marlborough
104,VNWH5-475,Rượu Vang Allan Scott Sauvignon Blanc,450000.0,New Zealand,12.0,750.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,Allan Scott,Marlborough
105,VNAV-364,Rượu Vang Allegranza Tempranillo – Shiraz,350000.0,Tây Ban Nha,13.0,750.0,"Tempranillo,Shiraz",đỏ ruby,Rượu Vang Đỏ,Allegranza,La Mancha
106,VNDL-1860,Rượu Vang Allegrini Corte Giara Amarone La Groletta,1830000.0,Ý,15.0,750.0,"Corvina,Rondinella",đỏ đậm,Rượu vang đỏ,Allegrini,Veneto
107,VNDL-594,Rượu Vang Allegrini Corte Giara Pinot Grigio,550000.0,Ý,12.5,750.0,Pinot Grigio,vàng nhạt,Rượu Vang Trắng,Allegrini,Veneto
108,VNDL-1030,Rượu Vang Allegrini Corte Giara Ripasso Valpolicella La Groletta,989000.0,Ý,13.5,750.0,"Corvina,Rondinella",đỏ ruby,Rượu vang đỏ,Allegrini,Veneto
109,VNDL-14118,Rượu Vang Allegrini Fieramonte Amarone Classico Riserva,14118000.0,Ý,15.0,750.0,"Corvina,Corvinone,Rondinella,Oseleta",đỏ ruby,Rượu Vang Đỏ,Bottega,Veneto
110,VNDL-1510,Rượu Vang Allegrini Palazzo Della Torre,1389000.0,Ý,14.0,750.0,"Corvina,Corvinone,Rondinella,Sangiovese",đỏ đậm,Rượu vang đỏ,Allegrini,Veneto
111,VNDL1-910,Rượu Vang Allegrini Valpolicella,859000.0,Ý,13.0,750.0,"Corvina,Rondinella,Oseleta",đỏ đậm,Rượu vang đỏ,Allegrini,Veneto
112,VNTBM3-163,Rượu Vang Almacen Cabernet Sauvignon,163000.0,Chile,13.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Almacen,Central Valley
113,VNTBM2-475,Rượu Vang Almacen Cuvee Gran Reserva,475000.0,Chile,14.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Almacen,Central Valley
114,VNTBM2-263,Rượu Vang Almacen Reserva Cabernet Sauvignon,263000.0,Chile,14.0,750.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Almacen,Central Valley
115,VNTBM3-263,Rượu Vang Almacen Reserva Chardonnay,263000.0,Chile,13.0,750.0,Chardonnay,vàng nhạt,Rượu Vang Trắng,Almacen,Central Valley
116,VNHM-590,Rượu Vang Almaden Cabernet Sauvignon,590000.0,Mỹ,13.0,1500.0,Cabernet Sauvignon,đỏ ruby,Rượu Vang Đỏ,Almaden,California
117,VNPV-760,Rượu Vang Alois Lageder Chardonnay,684000.0,Ý,13.5,750.0,Chardonnay,vàng rơm,Rượu Vang Trắng,Alois Lageder,Trentino – Alto Adige
118,VNPV1-760,Rượu Vang Alois Lageder Dolomiti Pinot Grigio,684000.0,Ý,12.5,750.0,Pinot Grigio,vàng rơm,Rượu Vang Trắng,Alois Lageder,Trentino – Alto Adige
119,VNPV-1117,Rượu Vang Alois Lageder Porer Pinot Grigio,1006000.0,Ý,12.5,750.0,Pinot Grigio,vàng rơm,Rượu Vang Trắng,Alois Lageder,Trentino – Alto Adige
120,VNPV-937,Rượu Vang Alois Lageder Sauvignon Blanc,844000.0,Ý,12.0,750.0,Sauvignon Blanc,vàng rơm,Rượu Vang Trắng,Alois Lageder,Trentino – Alto Adige
121,VNMH7-1800,Rượu Vang Aloxe Corton Domaine Latour,1800000.0,Pháp,13.5,750.0,Pinot Noir,đỏ rực,Rượu Vang đỏ,Louis Jadot,Bourgogne
122,VNWH1-975,Rượu Vang Alpha Estate Rose,975000.0,Hy Lạp,12.5,750.0,Xinomavro,hồng ngọc,Rượu vang hồng,Alpha Estate,Amyndeo
123,VNWH3 - 675,Rượu Vang Alta Vista Premium Cabernet Sauvignon,645000.0,Argentina,13.5,750.0,Cabernet Sauvignon,đỏ đậm,Rượu vang đỏ,Alta Vista,Mendoza
124,VNWH1-675,Rượu Vang Alta Vista Premium Chardonnay,660000.0,Argentina,13.5,750.0,Chardonnay,vàng rơm,Rượu vang trắng,Alta Vista,Mendoza
125,VNTK1-840,Rượu Vang Altano Douro Reserva Symington Family,840000.0,Bồ Đào Nha,14.5,750.0,Touriga Franca và Touriga Nacional,đỏ ruby,Rượu Vang Đỏ,Altano,Douro Valley
126,VNTK-494,Rượu Vang Altano Douro Symington Family,494000.0,Bồ Đào Nha,14.5,750.0,Touriga Franca và Touriga Nacional,đỏ ruby,Rượu Vang Đỏ,Altano,Douro Valley
127,VNMH7-450,Rượu Vang Altano Rewilding Edition Douro,450000.0,Bồ Đào Nha,14.0,750.0,"Tinta Roriz, Tinta Barroca",đỏ ruby,Rượu Vang Đỏ,Altano,Douro
128,VNMH-1250,Rượu Vang Alto De Cantenac Brown,1250000.0,Pháp,13.5,750.0,"Sauvignon Blanc,Sémillon",vàng rơm ánh xanh,Rượu vang trắng,Chateau Cantenac Brown,Bordeaux
129,VNPV1-1137,Rượu Vang Alvaro Palacios Camins Del Priorat,1024000.0,Tây Ban Nha,14.5,750.0,"Grenache,Cinsault,Carbernet Sauvignon,Syrah",đỏ,Rượu vang đỏ,Alvaro Palacios,Catalunya
130,VNPV-3923,Rượu Vang Alvaro Palacios Finca Dofi Priorat,3531000.0,Tây Ban Nha,14.0,750.0,"Garnacha,Carbernet Sauvignon",đỏ,Rượu vang đỏ,Alvaro Palacios,Catalunya
131,VNPV-2607,Rượu Vang Alvaro Palacios Gratallops Vi de Vila Priorat,2347000.0,Tây Ban Nha,14.5,750.0,"Garnacha,Cabernet Sauvignon,Syrah",đỏ,Rượu vang đỏ,Alvaro Palacios,Catalunya
132,VNPV2-708,Rượu Vang Alvaro Palacios La Vendimia Rioja,638000.0,Tây Ban Nha,14.0,750.0,"Grenache,Tempranillo",đỏ,Rượu vang đỏ,Alvaro Palacios,Rioja
133,VNPV1-1033,Rượu Vang Alvaro Palacios Petalos De Bierzo,930000.0,Tây Ban Nha,14.0,750.0,Mencia,đỏ,Rượu vang đỏ,Alvaro Palacios,Bierzo
134,VNPV1-1419,Rượu Vang Alvaro Palacios Placet Rioja,1278000.0,Tây Ban Nha,13.5,750.0,Viura,trắng,Rượu vang trắng,Alvaro Palacios,Rioja
135,VNHD4-1650,Rượu Vang Amanta Feudi Bizantini,1650000.0,Ý,15.0,750.0,"Montepulciano,Primitivo",đỏ ruby,Rượu Vang Đỏ,Feudi Bizantini,Abruzzo
136,VNKR2-880,Rượu Vang Amate Di Guarini Sigillo Oro,880000.0,Ý,15.0,750.0,Primitivo,đỏ ruby,Rượu Vang Đỏ,Guarini,Puglia
137,VNHM1-790,Rượu Vang Amicone Cantine Di Ora,790000.0,Ý,14.0,750.0,"Corvina,Rondinella,Molinara",đỏ ruby,Rượu Vang Đỏ,Cantine Di Ora,Veneto
138,VNWP-625,Rượu Vang Amore Semidolce,625000.0,Ý,10.0,750.0,Blend,đỏ ruby,Rượu Vang Đỏ,Coli S.P.A,Toscana
139,VNPV2-1189,Rượu Vang Ampelidae Le C Chardonnay,1071000.0,Pháp,12.5,750.0,Sauvignon Blanc,vàng,Rượu Vang trắng,Ampelidae,Loire Valley
